# Hand-authored mnemonics, one per compound kanji.
#
# Read by tools/build_kanji_components.py, which checks that every line here
# actually uses each of its kanji's component keywords and warns about any
# that don't. A kanji with no line here falls back to the mechanical
# arrangement template in that script.
#
# House rules for writing one:
#   * Name every component by the keyword it carries in
#     component-keywords.tsv, spelled exactly the same way, so a learner
#     meets the same word for that shape everywhere it appears.
#   * Say where the parts sit — above, below, beside, inside, wrapped
#     around, hanging over. The arrangement is half of what is being learnt.
#   * Land on the kanji's own meaning. One or two sentences, no more.
#   * Written from the component keywords and nothing else. No mnemonic
#     source was consulted for any line in this file — see
#     kanji-mnemonic-plan.md §2.4 and §2.6.4.
#
# Columns: kanji <TAB> mnemonic
#
# ---- grade 1 ----
野	Village on the left, beforehand on the right: what was there before the village. Open plains.
間	Sun in the gateway, and light in the gap is the interval itself.
雪	Rain above a hand: rain you can hold. Snow.
雲	Rain on top and cloud below, because rain has to come from somewhere.
頭	A bean beside a head, and the head is about that size. The head.
顔	A youth beside a head: the face you look at.
鳴	A mouth beside a bird: the chirp.
麦	A sprout above a winter's foot, pushing up through the frost. Barley.
黒	A village over a fire, and the soot turns everything black.
# ---- grade 3 ----
主	A lid resting on the king below: the master of the house.
仕	A person beside a scholar, attending on them.
他	A person on the left, a snake on the right — somebody else entirely. Other.
代	A person beside a stake driven in to mark their place while they are away. A substitute.
住	A person beside the master of the house, living under the same roof. Dwell.
使	A person beside an official, sent out on an errand. Use.
係	A person beside a lineage, holding the thread of it. The one in charge.
倍	A person beside spit, saying it twice over. Double.
全	One person above the king, and together that is everyone. Whole.
写	A cover on top, give underneath: copy it out and hand it over.
列	Bone on the left, knife on the right: laid out in a row.
助	A pile on the left, strength on the right, shifting it. Help.
勉	Excuse wrapped round strength — no excuse left, so put your back into it. Exertion.
動	Heavy on the left, strength on the right: move it.
勝	Moon on the left, weary on the right — outlast them and win.
化	A person beside a spoon, stirred into something else. Change.
区	A hiding box with a cut inside it, dividing the town into wards.
医	A hiding box with an arrow inside: pull the arrow out and treat the wound. Doctor.
去	Earth on top, private below — bury it and it is gone.
取	An ear on the left, a hand on the right, taking hold of it.
君	A governor hanging over a mouth, giving the orders. Mister, ruler.
味	A mouth on the left, not yet on the right: not tasted yet. Flavour.
和	Grain on the left, a mouth on the right, and everyone fed. Harmony.
員	A mouth above a shell — one mouth to pay for, one member of staff.
商	Stand on top, bright below: set out your stall and make a deal.
問	A mouth inside the gate, calling in a question.
坂	Earth on the left, turn back on the right: too steep, turn back. A slope.
始	A woman beside a pedestal: everything begins here.
委	Grain on top, a woman below, entrusted with the harvest.
守	A roof over measure: guard every inch of what is under it.
安	A woman under a roof, and the household relaxes.
定	A roof over a foot, planted and settled. Determine.
客	A roof over each and every arrival: a guest.
宮	A roof over a spine of linked rooms: a palace.
宿	A roof over a hundred travellers: an inn.
対	Writing on the left, measure on the right, set opposite each other.
局	A body hanging over a phrase, hunched at a desk. The bureau.
屋	A body hanging over arrive — you have arrived under the roof. A house.
帳	Cloth on the left, long on the right: a long roll of cloth to write on. A notebook.
庫	A lean-to hanging over a cart: the warehouse it is parked in.
庭	A lean-to hanging over a court: the courtyard.
式	A stake enclosing craft, and the craft is done the same way every time. A ceremony.
役	A step on the left, a weapon on the right: marched off on duty.
待	A step on the left, a Buddhist temple on the right: pace the temple yard and wait.
息	Self on top, heart below: your own heart, and the breath it drives.
悪	Second above a heart: a heart that comes second. Bad.
悲	Not above a heart: the heart says no. Grief.
想	Mutual above a heart: two hearts thinking the same thought. An idea.
意	Sound above a heart: what the heart is trying to say. Meaning.
感	All above a heart, all at once. Feeling.
所	A door on the left, an axe on the right — the place they are kept.
打	A hand on the left, a nail on the right. Strike.
投	A hand on the left, a weapon on the right, hurled. Throw.
拾	A hand on the left, join on the right: gather it up.
持	A hand on the left, a Buddhist temple on the right, holding the whole thing steady.
指	A hand on the left, delicious on the right — the finger that points at the best dish.
放	Direction on the left, a strike on the right: strike out in any direction. Set free.
整	An imperial order on top, correct below: everything put in order.
昭	The sun on the left, summon on the right: call the sun out and it shines.
暑	The sun above a person, beating down. Sultry.
暗	The sun on the left, sound on the right — you can hear it but not see it. Darkness.
期	That on the left, moon on the right: that moon, that date. A period.
板	A tree on the left, turn back on the right: sawn and turned over. A plank.
柱	A tree on the left, the master on the right: the tree the whole house leans on. A pillar.
根	A tree on the left, stopping on the right — where the tree stops going down. The root.
植	A tree on the left, straight on the right: stand it up straight and plant it.
横	A tree on the left, yellow on the right, felled and lying sideways.
橋	A tree on the left, tall on the right: tall timber laid across. A bridge.
次	Ice on the left, a yawn on the right — cold and bored, waiting for the next one.
決	Water on the left, decide on the right: the water has to go one way. Decide.
油	Water on the left, reason on the right — water that will not mix. Oil.
波	Water on the left, skin on the right: the skin of the water. Waves.
注	Water on the left, the master on the right: pour for the master.
泳	Water on the left, eternity on the right: swim on and on.
洋	Water on the left, a sheep on the right, drifting off overseas. The ocean.
流	Water on the left, a pennant on the right, streaming out. Flow.
消	Water on the left, resemblance on the right: pour water on it until it no longer resembles itself. Extinguish.
温	Water on the left, warm on the right. Warm water.
港	Water on the left, an alley on the right: an alley of water. The harbour.
湖	Water on the left, a barbarian on the right, camped at the water's edge. A lake.
湯	Water on the left, sunbeams on the right, heating it. Hot water.
炭	A mountain above ashes: dig into the hillside and bring out coal.
物	A cow on the left, not on the right — a cow and not-a-cow, and between them, everything. A thing.
球	The king on the left, seek on the right: the jewel everyone is chasing. A ball.
界	A rice field above mediate: something has to sit between the fields. A boundary.
畑	Fire on the left, a rice field on the right: burn it off and it becomes dry field.
病	Sickness hanging over third: taken ill and third in the queue.
登	A tent on top, a bean below: climb up to pitch it.
相	A tree on the left, an eye on the right, looking each other over. Mutual.
真	Ten above a tool: ten tools all agreeing. True.
短	An arrow on the left, a bean on the right: as long as an arrow, as short as a bean.
研	Stone on the left, level on the right: grind it level. Polish.
礼	An altar on the left, a hook on the right, bowing low. A salute.
神	An altar on the left, state on the right: what is stated at the altar. The gods.
福	An altar on the left, full on the right: a full jar set at the altar. Blessing.
秒	Grain on the left, few on the right — a few grains through the glass. A second.
究	A hole on top, nine below: dig nine holes and you are doing research.
章	Sound above early: the first sound, and the chapter it opens.
童	Stand above a village: the child standing about in the village.
笛	Bamboo on top, reason below: bamboo with a reason to be hollow. A flute.
筆	Bamboo above a brush: the bamboo handle of the writing brush.
等	Bamboo above a Buddhist temple: bamboo slips in the temple, all cut to one length. Class, and so forth.
箱	Bamboo above mutual: bamboo sides facing each other. A box.
級	Thread on the left, reach on the right: how far up the thread you have reached. A grade.
終	Thread on the left, winter on the right: the thread runs out in winter. The end.
緑	Thread on the left, carve on the right: carved and dyed. Green.
練	Thread on the left, east on the right: work the thread until the sun is up. Practice.
美	A sheep above big: a big sheep. Beauty.
習	Feathers above white: a white-feathered fledgling flapping until it learns.
者	Old hanging over the sun: someone who has seen many days. A person.
苦	Grass above old: old grass, bitter to chew. Suffering.
荷	Grass above what: grass and what else is on your back? A load.
落	Grass above the capital: the leaves come down all over town. Fall.
葉	Grass above a flat board: pressed flat. A leaf.
薬	Grass above music: the grass that makes you well enough to sing. Medicine.
詩	Words on the left, a Buddhist temple on the right: words with temple weight. A poem.
調	Words on the left, a circuit on the right: run the words round until they are in tune.
談	Words on the left, flames on the right: talk around the fire.
負	A bending person above a shell: bent under the debt. Defeat.
起	Run wrapped round self: get yourself up and running.
路	A foot on the left, each on the right: each foot in turn along the path.
転	A cart on the left, a cloud on the right, wheels turning like cloud.
軽	A cart on the left, holy on the right: light enough for anyone to pull.
農	Bend above a dragon: bend your back from dawn. Agriculture.
返	A road wrapped round turn back: turn back along the road. Return.
追	A road wrapped round a heap: follow the heaped tracks. Chase.
送	A road wrapped round a frontier pass: see them off at the pass. Escort.
速	A road wrapped round a bundle: bundle it up and go. Quick.
進	A road wrapped round a small bird: birds go forward and never back. Advance.
遊	A road wrapped round roam: wander wherever it goes. Play.
運	A road wrapped round an army, moving it. Carry, and the luck it takes.
部	Spit on the left, a village on the right: the village split into sections.
都	A person on the left, a village on the right: village upon village. The metropolis.
配	A wine jar on the left, self on the right: pour yourself a cup and hand the rest round. Distribute.
酒	Water on the left, a wine jar on the right. Sake.
鉄	Metal on the left, lose on the right: the metal you can afford to lose. Iron.
銀	Metal on the left, stopping on the right: metal one stop below gold. Silver.
開	Level inside the gate: pull the bar level and the gate opens.
院	A hill on the left, complete on the right: the completed building on the hill. An institution.
陽	A hill on the left, sunbeams on the right: the sunny side of the hill.
階	A hill on the left, all on the right — a hill for everybody, cut into steps. A storey.
集	A small bird above a tree, and then another, and another. Gather.
題	Correct wrapped round a head: get the heading right. A topic.
飲	Food on the left, a yawn on the right: mouth open. Drink.
館	Food on the left, an official on the right: the official building where you are fed. A mansion.
駅	A horse on the left, a ruler on the right: horses measured out along the road. A station.
鼻	Self above give: the part of yourself that gives you away. The nose.
#
# ---- kanji with a breakdown, authored to replace a template ----
学	Small marks under a cover, and a child underneath taking them all in. Study.
京	A lid over a mouth over something small — a tower stacked up on a hill. The capital.
今	A person under a roof with one line ruled beneath them: right here, right now.
南	Ten over an open box with a dry frame inside — a shed turned to face the warm south.
合	A person over one line over a mouth: lid, seal and jar, all fitting together.
売	A scholar up on a cover with legs under it — the stall he sells from.
夏	One line laid over self, with a winter's foot dragging below — the season that walks the other way.
夜	A lid pulled over a person still out in the evening. Night.
弟	Eight over condolences with a slash through it — the younger brother, always last in line.
弱	Two bows, each with ice on it. Frozen through and ready to snap. Weak.
強	A bow on the left, and on the right a private insect that turns out to be stronger than it looks.
後	A step, a tiny thread, and a winter's foot dragging along behind it.
新	Stand a tree up and take an axe to it — fresh-cut timber. New.
楽	White with ice either side of it, up on a tree: a rack of bells. Music.
歌	Big brother on the left, a yawn on the right, mouth wide open. A song.
算	Bamboo over an eye over twenty — counting rods, watched very carefully.
茶	Grass over a person over a tree: leaves picked off the bush. Tea.
親	Stand by a tree and see — a parent watching from just far enough away.
電	Rain on top with a sun trapped underneath it, flashing on and off. Lightning.
風	A table tipped on its side with an insect blown in under it. Wind.
高	A lid, a mouth, and open country underneath — a tower you can see for miles.
魚	A bending person for a head, a rice field for a body, fire for a tail fin. A fish.
具	An eye up on eight — a stand with everything laid out on it. Tools.
受	A claw above, a cover between, a hand below: one hand passing something down to another.
号	A mouth over one hooked line, calling out a name or a number.
向	An open box with a slash on top and a mouth inside — a window you turn to face.
命	A person under one line, a mouth on the left and a seal on the right: an order handed down.
岸	A mountain over a cliff over dry ground — where the land stops and the water starts.
度	A lean-to hanging over twenty, with a hand underneath measuring them off.
急	A bending person, a hand, and a heart beneath them all, racing. Hurry.
昔	Twenty over the sun — twenty long days ago, and then a good deal more.
服	A moon on the left, a seal and a hand on the right: a body with something fitted onto it.
様	A tree on the left, a sheep over water on the right. That is simply the manner of it.
歯	Stop on top, rice in a container below — a mouthful, and the teeth that stop it.
発	A tent up top, two lines and a pair of legs below: packed up and setting off.
県	An eye over something small — a district watched over from above.
着	A sheep with a slash through it and an eye underneath: you have arrived, and you are being looked over.
祭	A moon over an altar — an offering laid out for the festival.
第	Bamboo over condolences with a slash through it: slips of bamboo, numbered in order.
育	A lid over something private over a moon — a child growing up under cover.
#
# ---- kanji with no breakdown: hints about the SHAPE ----
# KanjiVG either cannot decompose these or decomposes them into stroke
# bookkeeping (§9.3), so there are no component tiles to lean on. The hint
# describes what the character actually looks like instead. Same rule as
# above otherwise: it is a default, and any learner can replace it.
一	One flat stroke, and nothing else. Nothing simpler exists.
七	A cross with its bottom stroke swinging out to the right, like a 7 tipped over.
三	Three lines stacked up. Count them and you have your answer.
上	A stroke standing on the ground line with a tick out to the right: something is up there.
下	The ground line on top, and a stroke hanging down underneath it.
中	A box with a line driven straight through the middle of it.
九	A hook with one leg kicking out from under it — the last number before ten.
二	Two lines, one short and one long, with nothing at all between them.
五	A line, a zigzag, a line: scaffolding held between two rails.
人	Two legs walking and nothing above them. A person, seen head on.
先	A foot striding out ahead of a pair of legs — out in front, and so earlier.
入	Two strokes leaning together like the mouth of a tent you duck into.
八	Two strokes splaying apart. Eight is the number that splits cleanly in half.
円	A box with two legs dropping out of the bottom of it: the coin, and what it is worth.
出	Two mountains stacked up, one climbing out of the other.
力	A bent arm flexing, and nothing else. Pure muscle.
十	A cross, straight up and straight across. Ten fingers.
口	An open square. A mouth, held wide.
右	A hand with a mouth underneath it — the hand you eat with.
土	A cross planted upright with a line under it: a mound of earth.
夕	A crescent moon just showing itself. Evening.
大	A person with both arms flung out wide. This big.
女	A figure with its legs crossed and its arms folded across.
子	A baby with its arms out and its legs still wrapped up.
小	One stroke with a tiny fleck either side of it. Small.
山	Three peaks along one ridge line.
川	Three lines running downhill side by side. Water on the move.
左	A hand with a carpenter's square under it — the hand that holds the work steady.
年	A figure over two crossbars: harvests counted off, one to a year.
手	Fingers, a wrist, and a hook at the end. A hand held up.
日	A box with one line across the middle. The sun with a spot on its face.
月	A tall box with two lines inside, curved down one side like a crescent.
木	A trunk, branches out to either side, roots spreading below.
本	A tree with one extra mark ruled across its roots: where the whole thing starts.
林	Two trees standing side by side. A wood.
正	A foot stopped square on a line — halted in exactly the right place.
水	A stream with drops flying off it to either side.
火	A flame with sparks leaping away on both sides.
犬	A big person with one extra fleck: the dog on the end of the lead.
玉	A king with one extra dot — the jewel he is wearing.
王	Three ranks — heaven, earth and people — with one line joining all of them.
生	A shoot pushing up through the ground line. Something alive.
田	A square divided into four plots. A field seen from above.
白	The sun with one ray coming off the top of it. Bright, and pale with it.
目	An eye stood up on its end, pupil and all.
石	A boulder sitting under an overhanging cliff.
立	A figure with its arms out, planted on a line. Standing.
竹	Two stalks side by side, each with a leaf drooping off it.
糸	A twist of silk with the loose ends dangling below.
耳	An ear drawn straight down the page, with its ridges marked inside.
虫	A creature with a body and a feeler, curled up small.
赤	Earth over a fire — hot enough to glow.
車	A cart seen from above: axle down the middle, wheels out to each side.
金	A roof over the ground with nuggets buried underneath it.
雨	A cloud across the top, and four drops falling inside it.
万	One sweeping stroke under a lid, running off further than anyone is counting.
丸	Nine with a dot tucked into the crook of it, rolled up into a ball.
内	An open box with a person tucked in under it.
刀	A single curved blade with a handle. A sword.
前	A cap over a moon and a blade, the whole thing pushing forward.
北	Two people standing back to back, turning away from each other and from the cold.
午	One stroke laid across a stake standing upright: the shadow at its shortest.
半	Two strokes split off the top and a line straight down the middle. Cut in half.
原	A cliff with a spring running out from under it — where it all comes from.
声	A cross-topped figure above a low slab, with the sound carrying out from under it.
多	Two evenings stacked one on the other. Night after night after night.
少	Small, with one stroke slicing off the corner. Less even than small.
工	A beam held between two plates — the carpenter's square that shapes everything else.
弓	The curve of a bow, string and all.
心	A hook with three flecks scattered round it: a heart, and the beats coming off it.
戸	A single door on its hinge — one half of a gate.
才	A ten with a stroke swept through it, cut across the grain.
方	A lid with a flagpole through it, leaning off one way.
春	Three lines crossed by a sweep, with the sun coming up underneath at last.
昼	A ruler over a sun over a line: the middle of the day, measured out.
朝	Grass with the sun caught in it, and the moon still up beside them. Dawn.
来	A tree with two extra pairs of branches, all of them leaning towards you.
東	A sun caught in the branches of a tree — sunrise, so that way is east.
止	A footprint pressed flat into the ground. That foot is going nowhere.
母	A figure with its arms wrapped round, and two dots for feeding a baby.
毎	A person above a mother — one after another after another.
毛	Three strokes with a tail flicking off the bottom. A tuft of hair.
父	Two crossed strokes over two more, like arms folded. Father.
牛	A horned head on a body, seen from the front.
用	A box with a spine down the middle and two shelves across it. Something built to be used.
画	A field boxed in, with a line ruled over the top. A picture in its frame.
直	Ten over an eye over a bent line — look straight down it.
矢	A big figure with its head cut flat: an arrow, flight and all.
米	Grains scattered off a cross in every direction.
羽	Two wings side by side, each with its feathers marked in.
考	An old man bent over, with a curl of thought coming out from under him.
肉	An open box with two ribs marked inside it.
自	An eye with a mark on top — the nose you point at when you mean yourself.
行	A step on the left and a crossroads on the right. Going somewhere.
西	A box with legs and a lid: the sun sinking into a basket at the end of the day.
角	A horn, ridged along its length and tapering to a point.
言	A mouth with lines of sound stacked up above it.
谷	Two slopes falling away to either side, with a mouth at the bottom of them.
里	A rice field sitting on the earth. Where people settle.
長	Long hair over long legs, everything about it drawn out.
門	Two doors facing each other, both of them shut.
食	A lid pulled over a heap of good things. Dinner.
首	Two whiskers over a face — the head, and the neck holding it up.
馬	A mane on top, a body, and four legs flying along underneath.
鳥	A crest, an eye, a body, and four toes gripping the branch.
黄	A field boxed in top and bottom, ripening.
丁	A flat top with a stroke hanging straight down from it. A nail, driven in.
世	Three uprights joined by one long bar — one lifetime laid across the next.
両	One roof over two matching halves, each with an upright of its own.
乗	A tree with a figure climbing it, one foot out either side.
予	A hook with a stroke through it and a tail dropping down, all set up in advance.
事	A hand gripping a brush that runs straight down through everything else.
反	A cliff with a hand reaching back under it.
品	Three mouths stacked in a pile. Goods, sorted and counted.
央	A big figure boxed in at the shoulders — dead centre.
実	A roof over a cross and two legs: whatever is actually under there.
寒	A roof with layers packed under it and two chips of ice at the very bottom.
島	A bird perched on a mountain, out in the middle of the sea.
州	Three rivers with a sandbank marked in each one.
平	A stroke with two flecks and one long flat bar underneath. Level.
幸	A cross over a stack of bars — good fortune, piled up.
旅	A banner on a pole with people falling in behind it.
族	A banner on a pole with an arrow beneath it: everyone who fights under the same flag.
曲	A box with two uprights bending up out of the top of it.
有	A hand reaching over a moon and holding onto it.
業	A comb of uprights standing over a sheaf of work.
死	A bare bone on the left and a figure kneeling down beside it.
氷	Water with one extra fleck frozen onto its side.
深	Water on the left, and on the right a hand reaching down a hole after a tree's roots.
漢	Water on the left, and a tall stack of strokes piled up on the right.
由	A rice field with one stroke pushing up out of the top of it.
申	A rice field with a line driven straight through it, top to bottom.
皮	A hand peeling a hide back off its frame.
皿	A dish on its stand seen side on, with the dividers inside it.
羊	Horns on top, and a body ruled into three below them.
血	A single drop falling into a dish.
表	A cloak with two bars ruled across the top of it — whatever is on the outside.
豆	A lid on a stand with a foot underneath. A bean jar.
身	A body in profile, curved, with one stroke swept across it.
重	A thousand piled onto a village, and the whole thing sagging under it.
面	A lid over a boxed-in face, eyes and all. A mask.
