# Standardized component keywords — one short English keyword per kanji
# component, used identically everywhere that component appears.
#
# Read by tools/build_kanji_components.py. A component NOT listed here falls
# back to its own KANJIDIC2 entry's first English gloss (see
# resolve_keyword()); a component with neither is dropped, and any kanji with
# a dropped part gets no component record at all rather than a partial one.
#
# Every keyword here is either (a) the component's own dictionary meaning,
# (b) its traditional Kangxi radical name, or (c) the well-attested
# etymological sense of the graphic element. Nothing is invented for
# mnemonic effect — see kanji-mnemonic-plan.md §2.3.
#
# Columns: component <TAB> keyword <TAB> why this rather than the raw gloss
#
# --- radicals with no usable KANJIDIC gloss of their own ---
本	origin	the root of a tree, marked at the base; "book" is the borrowed use
乍	suddenly	pinned against "though, notwithstanding"
兀	lofty	pinned against "high & level, bald"
彡	hair	Kangxi 59, the bristle/hair strokes; "three" is the shape, not the sense
娄	entangle	the 婁 element, "to drag, trail"
翟	pheasant	KANJIDIC's "surname, kind of pheasant"
斗	dipper	a measuring dipper; "Big Dipper" is the constellation sense
㕣	marsh	KANJIDIC's "a marsh at the foot of the hills"
巴	coil	a coiled snake; KANJIDIC's "comma-design" describes the shape
彦	youth	pinned against "lad, fine young man"
吏	official	pinned against "officer"
与	give	pinned against "bestow, participate in"
歹	bone	Kangxi 78, the bare-bone/death radical
劵	weary	KANJIDIC's "become fatigued"
冏	bright	pinned against "light, clear"
疋	foot	Kangxi 103; KANJIDIC's "head, counter for animals" is a different sense
亜	second	pinned against "Asia"; the element means "rank next"
召	summon	pinned against "seduce, call, send for"
直	straight	pinned against "straightaway, honesty"
喬	tall	pinned against "high, boasting"
皮	skin	pinned against "pelt, hide"
㐬	pennant	KANJIDIC's "a cup with pendants, a pennant"
昷	warm	the original form of 温
巷	alley	pinned against "fork in road, scene"
勿	not	pinned
求	seek	pinned against "request, want"
介	mediate	pinned against "jammed in, shellfish"
丙	third	pinned against "third class, 3rd calendar sign"
申	state	pinned against the zodiac sense
畐	full	KANJIDIC's "to fill, roll of cloth"
及	reach	pinned against "exert, exercise"
彔	carve	KANJIDIC's "to carve wood"
洛	capital	KANJIDIC's "Kyoto, the capital"
枼	flat board	KANJIDIC's "table, flat pieces of wood, slip"
炎	flames	pinned against "inflammation, blaze"
辰	dragon	pinned against "sign of the dragon, 7-9AM"
𠂤	heap	the piled-earth element in 追/師
斿	roam	pinned against "to swim, to move freely"
完	complete	pinned against "perfect, end"
是	correct	pinned against "just so, this, right"
官	official	pinned against "bureaucrat, the government"
尺	ruler	the measuring rule; "shaku, Japanese foot" is the unit
畀	give	KANJIDIC's "to give"
甬	walled path	KANJIDIC's "road with walls on both sides" is too long for a tile
敕	imperial order	KANJIDIC's "an imperial order or decree"
尹	governor	KANJIDIC's "an official rank" is a description, not a keyword
廷	court	pinned against "courts, imperial court, government office"
# --- components surfaced once unnamed wrapper groups are descended into ---
幺	tiny thread	Kangxi 52, the short-thread radical
⺤	claw	the 爪 claw/grasping-hand radical in its top form
卩	seal	Kangxi 26, the seal/kneeling-figure radical
氺	water	the 水 radical in its spread-out bottom form
厂	cliff	Kangxi 27; KANJIDIC's "wild goose" is the standalone character's borrowed sense
凵	container	Kangxi 17, the open box; KANJIDIC's own gloss trails a radical name
示	altar	Kangxi 113 — the same element 礻 is the compressed form of, kept identical to it
冋	open country	pinned against KANJIDIC's "desert"
哥	big brother	pinned
廿	twenty	pinned
几	table	Kangxi 16
弔	condolences	pinned; phonetic in 弟/第, but it is a real character with a real meaning
